Lifeboat ID,Launch Time,Launch Location,Occupancy at Launch,Occupancy at Rescue,Carpathia Rescue,Meetup with
7,00:45,starboard,26,12,05:10,5
5,00:55,starboard,35,18,06:00,7
6,00:55,port,24,37,08:00,
3,01:00,starboard,37,48,07:30,
1,01:05,starboard,12,31,04:10,
8,01:10,port,30,24,07:30,
9,01:15,starboard,41,30,06:15,
16,01:25,port,32,30,07:30,
14,01:30,port,41,41,07:15,
12,01:35,port,29,37,08:15,
11,01:37,starboard,61,61,07:00,
13,01:43,starboard,68,59,06:30,
2,01:45,port,18,68,04:09,
15,01:45,starboard,71,35,07:30,
10,01:47,port,37,71,08:00,
4,01:55,port,33,31,08:00,
Collapsible D,02:05,port,21,0,07:15,
Collapsible C,02:00,starboard,44,0,05:45,
Collapsible B,02:15,port,23,43,X,
Collapsible A,02:10,starboard,20,30,X,
,,,,,,
,,,,,,
Total Saved,,,,706,,